request_symbol,name,asset_class_refined,primary_strategy,management_style,start_date,end_date,initial_leverage,terminal_wealth,spy_terminal_wealth,ruined,first_non_positive_date,minimum_equity,minimum_margin_ratio,illustrative_25pct_maintenance_breach,terminal_debt_index,cagr,sortino,calmar,martin,direction,breadth,dbf_signed,dbf,relative_cash_return,relative_cash_cagr,relative_cash_ulcer_index,rwm_score,spy_cagr,beat_spy_cagr,spy_sortino,beat_spy_sortino,spy_calmar,beat_spy_calmar,spy_martin,beat_spy_martin,beat_spy_cagr_and_martin,spy_rwm_score,beat_spy_rwm_score,beat_spy_cagr_and_rwm,beat_spy_all_four
HEQT,Simplify Hedged Equity ETF,alternatives,long_short_market_neutral,not_determined,2021-11-02,2026-08-28,1.0,1.54335341745557,1.7806501938489767,False,,0.9073080699580969,1.0,False,1.2979205095930881,0.0942363028222355,1.6277099483980626,0.8187119791729426,2.2611669899264584,0.09289951997544463,0.5288876430606867,0.049133408161282095,0.049133408161282095,0.2795624883553891,0.05248968090664552,0.048412490267413455,1.084217742502216,0.12720034429398952,False,1.1323327118154194,True,0.5192616171784471,True,1.479420602558623,True,False,0.8780969072226144,True,False,False
HEQT,Simplify Hedged Equity ETF,alternatives,long_short_market_neutral,not_determined,2021-11-02,2026-08-28,1.25,1.6047116444211906,1.7806501938489767,False,,0.8806839675030271,0.7748765743047454,False,1.2979205095930881,0.10312528230220419,1.437447423524108,0.707460891801545,1.9005445664462735,0.08124148042683511,0.5263651758057755,0.04276268612759253,0.04276268612759253,0.330433328883051,0.06103953357770786,0.06195110090331863,0.9852856961003265,0.12720034429398952,False,1.1323327118154194,True,0.5192616171784471,True,1.479420602558623,True,False,0.8780969072226144,True,False,False
HEQT,Simplify Hedged Equity ETF,alternatives,long_short_market_neutral,not_determined,2021-11-02,2026-08-28,1.5,1.666069871386811,1.7806501938489767,False,,0.8521300029720741,0.6247942905079092,False,1.2979205095930881,0.11174886471934142,1.3124089812852247,0.6279392276033346,1.6722361936965133,0.07319397139214727,0.5238515344764105,0.038342774228198845,0.038342774228198845,0.38130416941071266,0.06933411444938575,0.07534594823529282,0.9202102577947109,0.12720034429398952,False,1.1323327118154194,True,0.5192616171784471,True,1.479420602558623,True,False,0.8780969072226144,True,False,False
HEQT,Simplify Hedged Equity ETF,alternatives,long_short_market_neutral,not_determined,2021-11-02,2026-08-28,1.75,1.7274280983524315,1.7806501938489767,False,,0.8235760384411208,0.5175926592244547,False,1.2979205095930881,0.12012432450123689,1.2243583465578478,0.5725495884980801,1.511601728091746,0.06722353159490092,0.5211734342559069,0.035035118824124974,0.035035118824124974,0.4321750099383743,0.07739003890606666,0.08858310430879213,0.8736433376312087,0.12720034429398952,False,1.1323327118154194,True,0.5192616171784471,True,1.479420602558623,True,False,0.8780969072226144,False,False,False
HEQT,Simplify Hedged Equity ETF,alternatives,long_short_market_neutral,not_determined,2021-11-02,2026-08-28,2.0,1.788786325318052,1.7806501938489767,False,,0.7950220739101677,0.4371914357618638,False,1.2979205095930881,0.12826724559449576,1.1593665072157489,0.5315501247140096,1.389700620606549,0.06255555527646957,0.5182853304237655,0.032421626636307155,0.032421626636307155,0.4830458504660362,0.0852222963453304,0.10165738041216899,0.8383286683150533,0.12720034429398952,True,1.1323327118154194,True,0.5192616171784471,True,1.479420602558623,False,False,0.8780969072226144,False,False,False
JAVA,JPMorgan Active Value ETF,equity,factor_or_style,active_identified,2021-10-05,2026-08-28,1.0,1.7818849740368081,1.8990587081333887,False,,0.9280139233844111,1.0,False,1.2995153722005557,0.12524806636580488,1.2756777833326782,0.757188010328628,2.5407371895427677,0.06930912381287534,0.5390932847094466,0.03736408321661669,0.03736408321661669,0.477233394051219,0.08296421090795758,0.05969901264176519,1.3897082587579705,0.13998265322149428,False,1.2343682558662463,True,0.5714419979927482,True,1.6414594662765385,True,False,1.0214695181059326,True,False,False
JAVA,JPMorgan Active Value ETF,equity,factor_or_style,active_identified,2021-10-05,2026-08-28,1.25,1.902477374495871,1.8990587081333887,False,,0.9041977892034212,0.779469157881482,False,1.2995153722005557,0.1404015620685941,1.184716401816339,0.6946487587369109,2.241888227126962,0.06273393370838679,0.5348086645510585,0.033550651308616966,0.033550651308616966,0.5772079286719063,0.09754827819657752,0.0742564917332884,1.3136666696690662,0.13998265322149428,True,1.2343682558662463,False,0.5714419979927482,True,1.6414594662765385,True,True,1.0214695181059326,True,True,False
JAVA,JPMorgan Active Value ETF,equity,factor_or_style,active_identified,2021-10-05,2026-08-28,1.5,2.0230697749549345,1.8990587081333887,False,,0.8803816550224316,0.6324485964691366,False,1.2995153722005557,0.15480900930946473,1.1285679519014695,0.6523447994565243,2.052691320752562,0.05813317914511606,0.5304983507972685,0.03083955566308623,0.03083955566308623,0.677182463292594,0.11141433155741498,0.0880996144857852,1.264640398345802,0.13998265322149428,True,1.2343682558662463,False,0.5714419979927482,True,1.6414594662765385,True,True,1.0214695181059326,True,True,False
JAVA,JPMorgan Active Value ETF,equity,factor_or_style,active_identified,2021-10-05,2026-08-28,1.75,2.1436621754139975,1.8990587081333887,False,,0.856565520841442,0.5274339097460329,False,1.2995153722005557,0.1685484942000448,1.0923932838875008,0.616678432451531,1.9134106541061269,0.054674848958667845,0.5261688110042436,0.028768200268418868,0.028768200268418868,0.7771569979132813,0.12463752283190854,0.10128147902949843,1.230605279723528,0.13998265322149428,True,1.2343682558662463,False,0.5714419979927482,True,1.6414594662765385,True,True,1.0214695181059326,True,True,False
JAVA,JPMorgan Active Value ETF,equity,factor_or_style,active_identified,2021-10-05,2026-08-28,2.0,2.2642545758730606,1.8990587081333887,False,,0.8327493866604521,0.44867289470370497,False,1.2995153722005557,0.18168607566821549,1.0688194487648288,0.5901577469309334,1.8078721849597736,0.05194252982813073,0.5217831100619554,0.02710273475820794,0.02710273475820794,0.8771315325339686,0.13728142862760273,0.11384880489883038,1.205822307485751,0.13998265322149428,True,1.2343682558662463,False,0.5714419979927482,True,1.6414594662765385,True,True,1.0214695181059326,True,True,False
