dimension,group,n,current_listings,historical_identities,median_excess_cagr,median_excess_martin,beat_spy_cagr,rate_beat_spy_cagr,beat_spy_sortino,rate_beat_spy_sortino,beat_spy_calmar,rate_beat_spy_calmar,beat_spy_martin,rate_beat_spy_martin,beat_spy_rwm_score,rate_beat_spy_rwm_score,beat_spy_cagr_and_rwm,rate_beat_spy_cagr_and_rwm,beat_spy_cagr_and_martin,rate_beat_spy_cagr_and_martin,beat_spy_all_four,rate_beat_spy_all_four
exposure_type,thematic_equity,76,66,10,-0.04559627160343682,-1.2899115714673597,15,0.19736842105263158,1,0.013157894736842105,7,0.09210526315789473,1,0.013157894736842105,3,0.039473684210526314,3,0.039473684210526314,1,0.013157894736842105,1,0.013157894736842105
exposure_type,broad_equity,67,66,1,-0.005190058288804256,-0.1989430237145755,21,0.31343283582089554,15,0.22388059701492538,17,0.2537313432835821,17,0.2537313432835821,21,0.31343283582089554,15,0.22388059701492538,13,0.19402985074626866,9,0.13432835820895522
exposure_type,other_fixed_income,66,64,2,-0.12208501522306225,-1.3275324711317873,0,0.0,16,0.24242424242424243,10,0.15151515151515152,13,0.19696969696969696,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,municipal_bonds,57,56,1,-0.12665479478010666,-1.4582600849255192,0,0.0,3,0.05263157894736842,6,0.10526315789473684,8,0.14035087719298245,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,high_yield_bonds,52,50,2,-0.09979652189429788,-1.0004494352099123,0,0.0,1,0.019230769230769232,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,currency,47,46,1,-0.05869792532812812,-0.8268225263105454,0,0.0,1,0.02127659574468085,2,0.0425531914893617,1,0.02127659574468085,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,real_estate,41,40,1,-0.08394963217374984,-1.4908095446969258,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,treasury_and_government,40,38,2,-0.13171047612202358,-1.7382395726158781,0,0.0,8,0.2,5,0.125,5,0.125,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,aggregate_bonds,38,37,1,-0.13499344070154373,-1.7008543346256992,0,0.0,3,0.07894736842105263,1,0.02631578947368421,1,0.02631578947368421,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,precious_metals,36,36,0,-0.054880746575016626,-1.581574189842534,8,0.2222222222222222,8,0.2222222222222222,8,0.2222222222222222,4,0.1111111111111111,4,0.1111111111111111,4,0.1111111111111111,4,0.1111111111111111,4,0.1111111111111111
exposure_type,income_and_hybrid_securities,25,25,0,-0.11179783803145327,-1.277030523954022,0,0.0,6,0.24,6,0.24,6,0.24,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,other_commodity,24,24,0,-0.05951643165617049,-0.9145291265198334,2,0.08333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,broad_commodities,17,17,0,-0.08860435550443713,-1.2772765786697944,1,0.058823529411764705,1,0.058823529411764705,2,0.11764705882352941,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,multi_asset,16,16,0,-0.0767650912795097,-0.9069690841588778,0,0.0,0,0.0,2,0.125,1,0.0625,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,inflation_linked,15,15,0,-0.12016987188957651,-1.4281681513522868,0,0.0,4,0.26666666666666666,3,0.2,1,0.06666666666666667,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,loans_and_clo,15,15,0,-0.11462165654989809,0.33344290914350827,0,0.0,7,0.4666666666666667,4,0.26666666666666666,8,0.5333333333333333,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,mortgage_and_securitized,14,14,0,-0.12348348616131843,-1.757375555476511,0,0.0,1,0.07142857142857142,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,crypto,11,11,0,-0.10975976912071905,-1.5679213864893908,3,0.2727272727272727,2,0.18181818181818182,1,0.09090909090909091,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
